anio,region_desarrollo,tasa_pobreza,poblacion,poblacion_pobre
2016,Región Cibao Norte,0.28671733,1582048,453600.57849184
2016,Región Cibao Sur,0.27600121,728586,201090.61758905998
2016,Región Cibao Nordeste,0.18042037,637663,115047.39439531
2016,Región Cibao Noroeste,0.44958251,409325,184025.36090574999
2016,Región Valdesia,0.30306717,1080758,327542.26851486
2016,Región Enriquillo,0.40294111,378385,152466.87190735
2016,Región Del Valle,0.33602356,289933,97424.31882148
2016,Región Yuma,0.29264566,676460,197963.08316359998
2016,Región Higuamo,0.41716917000000003,574709,239750.87652153
2016,Región Metropolitana,0.41200335000000005,3717178,1531489.7885463003
2017,Región Cibao Norte,0.24511795,1591210,390034.1332195
2017,Región Cibao Sur,0.20394224000000002,730882,149057.71225568003
2017,Región Cibao Nordeste,0.19916067,639379,127339.15002393001
2017,Región Cibao Noroeste,0.42198482,411439,173621.01235598
2017,Región Valdesia,0.25704245,1088531,279798.67514094996
2017,Región Enriquillo,0.37834223,379726,143666.38162898
2017,Región Del Valle,0.25413166,288756,73382.04161495999
2017,Región Yuma,0.24596082,687277,169043.21448714
2017,Región Higuamo,0.37441198,576517,215854.87147366
2017,Región Metropolitana,0.38511174,3775455,1453972.0443417
2018,Región Cibao Norte,0.22513843,1600820,360406.1015126
2018,Región Cibao Sur,0.16298699,733379,119531.23573921
2018,Región Cibao Nordeste,0.21590119000000002,641259,138448.58119821
2018,Región Cibao Noroeste,0.34404601,413673,142322.54509473
2018,Región Valdesia,0.22641404999999998,1096613,248288.59061264998
2018,Región Enriquillo,0.36219659,381158,138054.12785122
2018,Región Del Valle,0.27742389,287657,79802.92392573
2018,Región Yuma,0.23586916,698277,164702.00943732
2018,Región Higuamo,0.30115611000000003,578478,174212.18420058003
2018,Región Metropolitana,0.34613151000000003,3834835,1327357.22915085
2019,Región Cibao Norte,0.17295828,1609682,278407.83006696
2019,Región Cibao Sur,0.22121618999999998,735534,162712.02909546
2019,Región Cibao Nordeste,0.20785992,642855,133623.7888716
2019,Región Cibao Noroeste,0.22344582,415711,92888.88527802
2019,Región Valdesia,0.21138062000000002,1104173,233400.77332726002
2019,Región Enriquillo,0.29301887,382413,112054.22513331
2019,Región Del Valle,0.26586345,286428,76150.7362566
2019,Región Yuma,0.19723071999999997,708961,139828.88848191997
2019,Región Higuamo,0.29097038000000003,580177,168814.32215726003
2019,Región Metropolitana,0.32402161999999995,3892386,1261217.2173853198
2020,Región Cibao Norte,0.22290417,1618235,360711.32953995
2020,Región Cibao Sur,0.26082766,737546,192372.39732236002
2020,Región Cibao Nordeste,0.23564395999999999,644318,151829.64501928
2020,Región Cibao Noroeste,0.25244693,417674,105440.51904082
2020,Región Valdesia,0.24906303999999999,1111524,276839.54647296
2020,Región Enriquillo,0.29820495999999996,383603,114392.31727087998
2020,Región Del Valle,0.21662845,285138,61769.0029761
2020,Región Yuma,0.29568403,719511,212747.91210932998
2020,Región Higuamo,0.37246765000000004,581761,216687.15253165003
2020,Región Metropolitana,0.37863291,3949189,1495292.92320999
2021,Región Cibao Norte,0.22316979,1626456,362975.84396424
2021,Región Cibao Sur,0.23419439,739316,173143.65963724
2021,Región Cibao Nordeste,0.23747240000000003,645618,153316.4559432
2021,Región Cibao Noroeste,0.24849882,419485,104241.5275077
2021,Región Valdesia,0.26920114,1118537,301111.43553218
2021,Región Enriquillo,0.38398433,384637,147694.58073821
2021,Región Del Valle,0.25892160000000003,283567,73421.62134720001
2021,Región Yuma,0.26422394,729817,192835.12321898
2021,Región Higuamo,0.30635176000000003,583196,178663.12102496
2021,Región Metropolitana,0.38649329,4004906,1547869.29608074
2022,Región Cibao Norte,0.19827072,1634577,324088.75868544
2022,Región Cibao Sur,0.22197894,741046,164496.60557124
2022,Región Cibao Nordeste,0.20163081,646892,130433.35794252
2022,Región Cibao Noroeste,0.27763667999999997,421262,116957.78309015998
2022,Región Valdesia,0.23444500999999998,1125473,263861.52873972995
2022,Región Enriquillo,0.36045610000000006,385638,139005.5694918
2022,Región Del Valle,0.28328922,281974,79880.19452028
2022,Región Yuma,0.24315228,740086,179953.59829608
2022,Región Higuamo,0.24681358,584602,144287.71249516
2022,Región Metropolitana,0.34156262,4060388,1386876.76349656
2023,Región Cibao Norte,0.16573443999999998,1643125,272322.40172499995
2023,Región Cibao Sur,0.14242157,742974,105815.52354918
2023,Región Cibao Nordeste,0.13854695,648321,89822.89717095
2023,Región Cibao Noroeste,0.21993039,423151,93063.76445889
2023,Región Valdesia,0.16475171,1132724,186618.21595804
2023,Región Enriquillo,0.32056809999999997,386749,123979.39210689999
2023,Región Del Valle,0.25796064,280455,72346.3512912
2023,Región Yuma,0.231059,750548,173420.870332
2023,Región Higuamo,0.24236360999999998,586162,142064.33836482
2023,Región Metropolitana,0.28648735999999997,4116946,1179452.9908025598
2024,Región Cibao Norte,0.14837453,1650961,244960.56242333
2024,Región Cibao Sur,0.11572531,744571,86165.70979200999
2024,Región Cibao Nordeste,0.12242665000000001,649468,79512.19152220001
2024,Región Cibao Noroeste,0.21758834,424856,92443.71177904
2024,Región Valdesia,0.10684144,1139468,121742.40195392
2024,Región Enriquillo,0.30971361000000003,387686,120071.63060646
2024,Región Del Valle,0.23590896,278807,65773.06941072
2024,Región Yuma,0.16308435,760680,124055.00335799999
2024,Región Higuamo,0.22055983,587465,129571.18053095
2024,Región Metropolitana,0.22734983,4171715,948438.69605845
